零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件重量（KG）,零件种类,CKD包装类型,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H,来料SNP,来料包装L,来料包装W,来料包装H
H97D9246001BA,电池包流入管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.274,总装,纸箱,0.093,97.0,25.0,25.0,,300.0,200.0,148.0
H97A5013017AA,右A柱内钣金堵盖,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.017,总装,纸箱,,,,,,,,
H97A5300025AE,左A柱内板下部总成,防锈袋,有,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,焊装件,,焊装件,轻钢,0.066,70.0,37.0,38.0,,435.0,325.0,210.0
HQY18610110T10L1D,带导向六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,0.131,总装,STD,/,/,/,/,/,/,/,/
H97A6205008AA,右后门锁体,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.405,总装,纸箱,0.016,,,,,365.0,275.0,160.0
H97E6107022AA,右前门密封条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.411,总装,天地盖纸箱,,1341.8,1072.33,216.09,90,1200,1000,900
H97A5016017AA,橡胶堵盖Φ20,,,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,C,4.0,采购件,0.0021,总装,STD,0.0066,18.0,6.0,6.0,,365.0,275.0,160.0
H97E1104010AB,燃油箱安装带1,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.86,总装,纸箱,0.6,500.4,73.55,287.22,18,650,435,210
H97A5006134AA,前风窗玻璃右装饰卡条,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,C,1.0,采购件,,总装,纸箱,0.056,633.9,87.66,367.45,200,1100,365,210
HQ1840835L1Q,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,4.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
H97C3718041AB,前保左氛围灯,,,,,,,,,,0.0117,16.0,8.0,8.0,,365.0,275.0,160.0
H97A5205016AA,后雨刮电机及支架总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,B,1.0,采购件,0.616,总装,纸箱,0.81,139.58,212.06,143.38,16,650,435,260
H97A3506007AA,制动管路7号总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,B,1.0,采购件,0.297,总装,轻钢,0.297,2715,455,248,300,3000,1140,1200
H97A8405010AA,机舱右前装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,天地盖纸箱,/,416.88,380.73,92.49,12,900,470,260
H97A6209001AB,后门限位器总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.194,总装,纸箱,0.0085,,,,,,,
09406-08302,卡扣,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,13.0,采购件,0.002,总装,STD,/,/,/,/,/,/,/,/
H97A1116001AA,油箱隔离阀总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.45,总装,纸箱,0.45,94.45,168,54.36,30,550,365,210
H97D2800005AD,车架左前段总成,防锈袋,有,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,A,1.0,焊装件,,焊装件,轻钢,15.009,1193,620,547,7,2300,1600,780
H97A5520155ACBEGA,左D柱上饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.54,总装,天地盖纸箱,0.56,632,288,391,18,1140,790,1200
H97D6900900AEUG04,前排主驾驶员座椅合件,无,,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,A,1.0,采购件,,总装,天地盖纸箱,0.0295,1092.98,859.51,554.88,2,1680,1150,2100
H97C5207001AA,清洗剂储液罐总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.46,192.91,681.68,584.84,60,1200,1000,280
H97A6205007AA,左后门锁体,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.405,总装,纸箱,0.044,405.0,250.0,10.0,,650.0,435.0,260.0
H97C2803003AA,前保险杠左装饰板,,,,,,,,,,0.046,211.0,17.0,6.0,,365.0,275.0,210.0
H97D3101035AAPK01,左后轮眉装饰件总成前段,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.199,总装,纸箱,0.006,12.0,6.0,6.0,,365.0,275.0,160.0
H97A5006065AC,左后门C柱装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.168,总装,纸箱,0.423,207.95,139.73,451.7,8,600,400,220
H97A5526001AAJG08,前排安全拉手,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.11,总装,纸箱,0.121,120.0,12.0,12.0,,365.0,275.0,160.0
H97A2803029AB,前保险杠左安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.06,总装,纸箱,0.071,227.2,84.93,130.11,76,435,325,210
H97D3101045AAPK01,左后轮眉装饰件总成后段,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,,总装,天地盖纸箱,0.211,515.0,115.0,37.0,,650.0,435.0,260.0
H97D2803038AA,前视摄像头装饰板,,,,,,,,,,0.0066,18.0,6.0,6.0,,365.0,275.0,160.0
HQ1841255T10L2Q,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,18.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
HQY1400820,搭铁螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,1.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97B2312001BA,前电机右前悬置总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,2.77,总装,纸箱,0.0085,,,,,,,
H97Y1303087AA,水管三管夹,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,0.0295,,,,,,,
H97A3923007AB,制动液加注标签,,,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,C,1.0,采购件,,总装,STD,0.093,97.0,25.0,25.0,,300.0,200.0,148.0
H97X3631802AH,MP5音响主机总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,1.4,总装,纸箱,0.0295,35.0,10.0,10.0,,365.0,275.0,160.0
H97D1303081AA,三通比例阀到chiller水管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.262,总装,纸箱,0.459,763,399,333,60,600,400,280
H97Y1300016AA,水管支架1,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,,,/,/,/,/,/,/,/,/
H97A5501011AA,右CCB 连接支架,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.205,总装,纸箱,0.04,65.0,21.0,21.0,,365.0,275.0,160.0
H97D1303047AA,四通到发动机软管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,0.013,160.0,30.0,5.0,,400.0,300.0,150.0
H97A3617803AA,智能助力器总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,4.8,总装,天地盖纸箱,0.06,232.0,84.0,34.0,,650.0,435.0,260.0
H97Y1300034AA,水管支架7,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,,,0.044,101.08,87.37,18.95,120,365,275,210
H97C2804001AA,后保险杠左下装饰板,,,,,,,,,,0.04,65.0,21.0,21.0,,365.0,275.0,160.0
H97A3615827BA,香氛出香管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.01,总装,纸箱,0.024,50.0,8.0,8.0,,365.0,275.0,160.0
H97A3506014AA,四通接头,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.095,总装,纸箱,0.095,59.91,61.53,35,100,365,275,160
H97D2803017AB,前保险杠左支撑板,,,,,,,,,,0.0087,30.0,6.0,6.0,,365.0,275.0,160.0
H97A5016011AA,Φ50孔贴,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,7.0,采购件,,总装,STD,0.015,50,49.86,2,800,365,275,160
H97A5006030BB,右后车门防擦条总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.917,总装,天地盖纸箱,0.227,989.31,30.03,46.16,14,1200,400,230
H97A5120015AA,燃油箱维修口盖,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.146,总装,纸箱,0.0102,42.0,14.0,14.0,,300.0,200.0,148.0
H97A2941008AC,右前空气弹簧管路前段,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.102,总装,纸箱,0.107,1440,460,617,40,1100,550,330
H97A2904013AA,前悬架左前上控制臂总成,,,1. 核心防护：防变形、防碰撞、防锈蚀；2. 强度要求：符合设计承载标准；3. 外观要求：无裂纹、无变形、无锈蚀；4. 性能要求：减震性能良好，无异常噪音,C,1.0,采购件,0.465,总装,纸箱,0.0091,,,,,,,
H97A6203024AA,右后门玻璃后导轨,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,C,1.0,采购件,,总装,纸箱,0.0117,16.0,8.0,8.0,,365.0,275.0,160.0
3505110-RA01,储油壶总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,0.13,总装,纸箱,0.026,25.0,10.0,10.0,,365.0,275.0,160.0
H97Y8202021AA,左镜框,,,,,,,,,,0.005,76.0,39.0,9.0,,365.0,275.0,160.0
H97A7909007BA,低音扬声器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,2.0,采购件,0.191,总装,纸箱,0.034,40.0,10.0,10.0,,365.0,275.0,160.0
H97A3404002AB,转向下轴,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,1.73,总装,天地盖纸箱,0.024,50.0,8.0,8.0,,365.0,275.0,160.0
Q2734816,十字槽大半圆头自攻螺钉-C型,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,18.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97D3629827BA,行人警示控制器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,0.265,总装,纸箱,0.093,97.0,25.0,25.0,,300.0,200.0,148.0
H97C2803008AA,前保险杠下格栅,,,,,,,,,,0.154,90.0,14.0,14.0,,365.0,275.0,160.0
H97D3730301AC,蓄电池搭铁线束,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,,总装,纸箱,0.0062,152.97,138.66,75.11,160,650,435,260
Q673C27F62,钢带式弹性软管夹箍,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,23.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97D1303063AA,四通控制阀水管3,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,,,0.232,986.0,451.0,198.0,,1330.0,1140.0,545.0
H97A5205011AA,左前雨刮臂总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.458,649,101,74,20,670,272,220
H97A8404003AB,充电口盖挡板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.044,总装,纸箱,0.018,16.0,8.0,8.0,,365.0,275.0,160.0
HQ1840630L1,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,5.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
H97A5501075AABEGA,仪表板左端盖总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,0.172,460.93,143.75,93.43,24,1100,550,330
H56A1104013AA,燃油管单管夹,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,0.005,总装,纸箱,/,/,/,/,/,/,/,/
H97A3605868AE,隐藏式门把手控制器,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,4.0,采购件,0.414,总装,纸箱,0.006,12.0,6.0,6.0,,365.0,275.0,160.0
H97A5207003AA,左喷嘴,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,,总装,STD,0.0295,35.0,10.0,10.0,,365.0,275.0,160.0
H97C2804002AA,后保险杠下蒙皮,,,,,,,,,,0.034,40.0,10.0,10.0,,365.0,275.0,160.0
H97A6105007AB,前门内开拉丝总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.0347,总装,纸箱,0.046,120.0,12.0,12.0,100,1000,400,148
H97C3718042AB,前保右氛围灯,,,,,,,,,,,25.0,6.0,6.0,,365.0,275.0,160.0
H97D1109014AA,空滤器支撑1,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.0091,,,,,,,
H97A5520130ABBKGA,右B柱下饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,1,总装,天地盖纸箱,0.0062,,,,,,,
H97A5300010AB,前机舱右封板分总成,防锈袋,有,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,焊装件,,焊装件,轻钢,,780.0,350.0,250.0,,1330.0,1140.0,1090.0
H97X3724111AB,左前门线束总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,,总装,纸箱,0.64,959,649,206,18,650,435,260
HQ1841040T10L1,六角法兰面螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,0.2,总装,STD,/,/,/,/,/,/,/,/
H97A5520075ACTE15,左A柱上饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.42,总装,天地盖纸箱,0.69,781,482,183,16,1140,1140,1090
H97D3730304AB,高压盒搭铁线束,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,,,,0.0066,18.0,6.0,6.0,,365.0,275.0,160.0
HQY1460616N1,搭铁螺栓,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,1.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
H97A5701010AA,顶盖后横梁焊接总成,防锈袋,有,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,A,1.0,焊装件,,焊装件,轻钢,4.12,190,291,130,22,1600,1140,545
H97A3101015AC,左后轮罩挡泥板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,1.2425,总装,天地盖纸箱,0.942,987,716,419,15,1600,1100,1180
HQY3931301A,E型环,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,4.0,采购件,,总装,STD,/,/,/,/,/,/,/,/
Q2734816,十字槽大半圆头自攻螺钉-C型,,,,,,,,总装,STD,/,/,/,/,/,/,/,/
